A5_1,A5_2,A5_3,A5_4,A5_5,A5_6,A5_7,A5_8,A5_9,A5_10,A5_11,A5_12,A5_13,A5_14,A5_15,A5_16,A5_17,A5_18,A5_19,A5_20,A5_21,D_TRA1_1_SPOT
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,가족/친지/친구 방문,,,,전라남도 해남군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 양양군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,가족/친지/친구 방문,,,,전라남도 목포시
,,,,,,,,,,,,,,,,,,,,,
,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 시흥시
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,제주특별자치도 제주시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,경기도 가평군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,인천광역시 서구
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,인천광역시 강화군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,충청북도 괴산군
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,경상남도 창원시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,인천광역시 강화군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,경상북도 칠곡군
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,제주특별자치도 제주시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,전라남도 해남군
,,,,,,,,,,,,,,,,,,,,,경기도 김포시
,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 화성시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,인천광역시 옹진군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 김포시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 시흥시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,인천광역시 중구
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 원주시
,,,,,,,,,,,,,,,,,,,,,
,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 안산시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,강원도 동해시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,부산광역시 해운대구
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 강릉시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 속초시
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 영월군
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 포천시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,인천광역시 중구
,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,인천광역시 강화군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,인천광역시 강화군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,전라남도 구례군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,가족/친지/친구 방문,,,,충청남도 아산시
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 철원군
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 남양주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,휴식/휴양,,,,,,,,,,,,,,,,인천광역시 중구
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,제주특별자치도 서귀포시
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,가족/친지/친구 방문,,,,충청남도 공주시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,인천광역시 강화군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 가평군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,충청남도 예산군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,전라북도 전주시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,"야외 위락 및 스포츠, 레포츠 활동",,,휴식/휴양,,,,,,,,,,,,,,,,인천광역시 옹진군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 홍천군
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 양평군
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 춘천시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,대전광역시 서구
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 춘천시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,경기도 파주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,전라남도 여수시
자연 및 풍경감상,,,,"테마파크, 놀이시설, 동/식물원 방문",휴식/휴양,,,,,,,,,,,,,,,,부산광역시 해운대구
,,,,,,,,,,,,,,,,,,,,,
,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,가족/친지/친구 방문,,,,인천광역시 서구
,,,,,,,,,,,,,,,,,,,,,경상남도 하동군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 광주시
,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 삼척시
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 남양주시
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 포천시
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 강릉시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,광주광역시 북구
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 강릉시
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,인천광역시 강화군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 파주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,,,,,,,,,,,,,,,,,인천광역시 강화군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,전라남도 여수시
,,,,,,,,,,,,,,,,,,,,,대구광역시 동구
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,전라남도 영암군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,전라남도 여수시
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,제주특별자치도 제주시
,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 평택시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,강원도 횡성군
,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,인천광역시 중구
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,인천광역시 강화군
,,,,,,,,,,,,,,,,,,,,,경상북도 안동시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 양양군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 강릉시
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,인천광역시 강화군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,인천광역시 강화군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,전라남도 담양군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,부산광역시 해운대구
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,인천광역시 옹진군
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 인제군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,대전광역시 유성구
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,전라북도 정읍시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 고성군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,인천광역시 중구
,,,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 양평군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 춘천시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 가평군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,인천광역시 중구
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,인천광역시 강화군
,,,,,,,,,,,,,,,,,,,,,부산광역시 수영구
,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,충청남도 태안군
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 속초시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,드라마 촬영지 방문,,,,,,인천광역시 중구
,,,,,,,,,,,,,,,,,,,,,인천광역시 미추홀구
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,"야외 위락 및 스포츠, 레포츠 활동",,,,,,,,,,,,,,,,,,,강원도 춘천시
자연 및 풍경감상,,,,,,,,지역 문화예술/공연/전시시설 관람,,,,,,,,,,,,,경기도 용인시
,,,,,,,,,,,,,,,,,,,,,충청북도 증평군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,경기도 화성시
,,,,,,,,,,,,,,,,,,,,,경기도 광명시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,경기도 평택시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 군포시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,드라마 촬영지 방문,,,,,,인천광역시 중구
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,제주특별자치도 제주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,경기도 평택시
,,,,,,,,,,,,,,,,,,,,,경기도 남양주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,,,쇼핑,,,,,,,시티투어,,,,,,,강원도 강릉시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,대구광역시 남구
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,종교/성지순례,,,,,,,,,인천광역시 중구
자연 및 풍경감상,,,,,,온천/스파,,,,,,,,,,,,,,,경기도 광주시
,,,,,,,,,,,,,,,,,,,,,
,,"야외 위락 및 스포츠, 레포츠 활동",,,,,,,,,,,,,,,,,,,경기도 포천시
,,,,,,,,,,,,,,,,,,,,,경기도 의왕시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,강원도 춘천시
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,인천광역시 강화군
,,,,,,,쇼핑,,,,,,,,,,,,,,경기도 김포시
,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 안산시
,,,,,,,,,,,,,,,,,,,,,강원도 속초시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,세종특별자치시 세종시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,충청남도 논산시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,"야외 위락 및 스포츠, 레포츠 활동",,,,,,,,,,,,,,,,,,,경기도 과천시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,충청남도 보령시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,충청북도 진천군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,시티투어,,,,,,,강원도 강릉시
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,시티투어,,,,,,,경상남도 남해군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,시티투어,드라마 촬영지 방문,,,,,,강원도 강릉시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,시티투어,,,,,,,제주특별자치도 제주시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,,,,,,,,,,,,,,,,,경기도 군포시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,,,,,,,,,,,,,,,,,인천광역시 서구
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,시티투어,,,,,,,제주특별자치도 제주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,경기도 여주시
,,,,,,,,,,,,,,,,,,,,,경기도 안성시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,경기도 김포시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,경기도 광주시
,,,,,,,,,,,,,,,,,,,,,
,,,역사 유적지 방문,,,,,,,,,,,,,,,,,,경기도 안성시
,,,,,,,,,,,,,,,,,,,,,경기도 부천시
자연 및 풍경감상,,,역사 유적지 방문,,휴식/휴양,,,,,,,,,,,,,,,,제주특별자치도 제주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,,,,,,,,,,시티투어,,,가족/친지/친구 방문,,,,울산광역시 남구
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,시티투어,,,,,,,제주특별자치도 서귀포시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,시티투어,,,,,,,인천광역시 강화군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),"야외 위락 및 스포츠, 레포츠 활동",,,,,,,,,,,,시티투어,,,,,,,제주특별자치도 서귀포시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,,,,,,,,,,,,,,,,기타,인천광역시 강화군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,경기도 평택시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,전라남도 함평군
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,시티투어,,,,,,,경기도 가평군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,시티투어,,,,,,,강원도 강릉시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,가족/친지/친구 방문,,,,전라북도 남원시
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,시티투어,,,,,,,강원도 삼척시
,음식관광(지역 맛집 등),,,,,,,,,,,,,시티투어,,,,,,,인천광역시 중구
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,시티투어,,,,,,,강원도 속초시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,강원도 횡성군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,시티투어,,,,,,,강원도 속초시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),"야외 위락 및 스포츠, 레포츠 활동",,"테마파크, 놀이시설, 동/식물원 방문",휴식/휴양,,쇼핑,,,,,,,시티투어,,,,,,,제주특별자치도 서귀포시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,인천광역시 남동구
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,충청남도 청양군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,,,,,,,,,,,,,,,,,경기도 가평군
자연 및 풍경감상,,,,,,,,,,,,,,,,,,,,,경기도 파주시
자연 및 풍경감상,,"야외 위락 및 스포츠, 레포츠 활동",,,휴식/휴양,,,,,,,,,,,,,,,,인천광역시 중구
자연 및 풍경감상,,"야외 위락 및 스포츠, 레포츠 활동",,,휴식/휴양,,,,,,,,,,,,,,,,충청남도 보령시
,,,,,,,,,,,,,,,,,,,,,경기도 고양시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,경기도 파주시
자연 및 풍경감상,,,,,,,,,,,,,,,,,,,,,경기도 가평군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,시티투어,,,,,,,대전광역시 유성구
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,시티투어,,,,,,,강원도 원주시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 파주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,충청북도 청주시
,,,역사 유적지 방문,,휴식/휴양,,,,,,,,,,,,,,,,경기도 고양시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,시티투어,,,가족/친지/친구 방문,,,,충청북도 영동군
,,,,"테마파크, 놀이시설, 동/식물원 방문",휴식/휴양,,,,,,,,,,,,,,,,경기도 동두천시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,"테마파크, 놀이시설, 동/식물원 방문",휴식/휴양,,,,,,,,,시티투어,,,,,,,경기도 남양주시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,인천광역시 중구
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,충청남도 태안군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,충청북도 보은군
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 양양군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,,,,,,,,,,,,,,,,,경기도 오산시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 포천시
,,,,,,,,,,,,,,,,,,,,,경기도 안성시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,전라남도 해남군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,드라마 촬영지 방문,,,,,,강원도 태백시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,경기도 고양시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,인천광역시 중구
,,,,,,,,,,,,,,,,,,,,,경기도 연천군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,충청남도 금산군
,,,,,,,,,,,,,,,,,,,,,인천광역시 중구
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 양양군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 파주시
,,,,,,,,,,,,,,,,,,,,,
,음식관광(지역 맛집 등),,,,,,쇼핑,,,,,,,,,,,,,,경기도 평택시
,,,,,,,,,,,,,,,,,,,,,대구광역시 수성구
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,경기도 화성시
,,,,,,,,,,,,,,,,,,,,,경기도 평택시
